CallID,CustomerID,CustomerName,DateTime,Reason,Agent,Resolution
CL0001,RC1023,Jessica Lee,2024-05-01 09:03,Billing question,Agent Brown,Explained latest bill and payment options
CL0002,RC1085,Michael Rodriguez,2024-05-01 09:25,Outage report,Agent Wang,Logged outage and escalated to field services
CL0003,RC1009,Aisha Patel,2024-05-01 10:11,Service stop request,Agent Smith,Scheduled service stop for 2024-05-10
CL0004,RC1054,Brian Johnson,2024-05-01 10:50,Payment arrangement,Agent Lee,Set up 2-month payment plan
CL0005,RC1012,Emily Nguyen,2024-05-01 12:34,High usage inquiry,Agent Patel,Explained seasonal usage increase factors
CL0006,RC1040,Tony Martinez,2024-05-01 13:10,Solar program inquiry,Agent Brown,Emailed solar program brochure
CL0007,RC1077,Linda Lopez,2024-05-01 13:47,Update contact info,Agent Garcia,Updated phone and mailing address
CL0008,RC1096,Amir Singh,2024-05-01 14:15,Billing question,Agent Wang,Corrected billing error; issued adjustment
CL0009,RC1010,Sarah Kim,2024-05-02 09:55,Service start request,Agent Smith,Scheduled start for 2024-05-05
CL0010,RC1001,David Anderson,2024-05-02 10:18,Energy efficiency tips,Agent Lee,Provided energy-saving recommendations
CL0011,RC1036,Chloe White,2024-05-02 10:45,General info,Agent Patel,Directed to city website for programs
CL0012,RC1018,Maria Hernandez,2024-05-02 11:22,Complaint,Agent Garcia,Escalated complaint to supervisor
CL0013,RC1044,Paul King,2024-05-02 13:21,Outage report,Agent Brown,Confirmed outage and estimated resolution time
CL0014,RC1083,Anna Johnson,2024-05-02 14:09,Payment arrangement,Agent Wang,Arranged new payment schedule
CL0015,RC1095,Nathan Wu,2024-05-02 15:00,Update contact info,Agent Smith,Updated email address
CL0016,RC1026,Danielle Scott,2024-05-02 15:12,Service stop request,Agent Lee,Scheduled for 2024-05-12
CL0017,RC1067,Noah Davis,2024-05-02 16:23,Billing question,Agent Patel,Explained rate changes
CL0018,RC1052,Jade Evans,2024-05-03 08:31,High usage inquiry,Agent Garcia,Provided historical usage comparison
CL0019,RC1081,William Moore,2024-05-03 09:10,Energy efficiency tips,Agent Brown,Suggested home energy audit
CL0020,RC1020,Elena Torres,2024-05-03 09:43,Complaint,Agent Wang,Filed complaint about streetlight outage
CL0021,RC1005,James Williams,2024-05-03 11:03,Service start request,Agent Smith,Scheduled start for 2024-05-07
